user_id,amount,device_id,sex,age,fraud,signup_hour,transaction_hour,transaction_day,time_since_signup,store_pets,store_toys,browser_FireFox,browser_IE,browser_Opera,browser_Safari,country_frequency
40630765,-1.3579340528653272,41974320,1,-0.7700120768506951,0,9,1,2,0.3763789542570274,0.0,1.0,0.0,1.0,0.0,0.0,0.14408
90517585,1.022491949769297,70879186,1,-0.3065941866826066,0,14,13,4,-1.1087652577342308,0.0,0.0,0.0,1.0,0.0,0.0,0.08169333333333334
63383012,-0.19036319665673296,40697637,1,1.7787863190737916,0,14,13,5,0.9643589537920725,1.0,0.0,0.0,0.0,0.0,0.0,0.08169333333333334
34695055,0.18445978381770806,29544115,0,0.8519505387376146,0,1,12,4,1.1987850534360927,0.0,1.0,1.0,0.0,0.0,0.0,0.0013066666666666667
92152176,0.6667647543263047,80967980,2,1.199513956363681,0,4,19,2,-0.51093641663794,0.0,0.0,0.0,0.0,0.0,0.0,0.007826666666666666
27827220,-1.1806160490018724,74925781,0,-0.7700120768506951,0,23,8,2,-0.7934762984279912,1.0,0.0,0.0,1.0,0.0,0.0,0.14408
84868302,1.0524996119615737,13933236,2,2.0104952641578357,0,17,4,1,1.6138515102479933,1.0,0.0,1.0,0.0,0.0,0.0,0.36654
8604379,1.2041747044970827,92858302,2,-0.4224486592246287,0,15,18,6,0.5258769481393837,1.0,0.0,0.0,1.0,0.0,0.0,0.14408
85193528,-0.6884903890485304,88745451,0,0.8519505387376146,0,7,15,3,-0.38009140576313366,1.0,0.0,1.0,0.0,0.0,0.0,0.010126666666666667
30029773,0.49272031361109847,25188701,2,0.15682370348548189,0,16,1,5,-0.15696476464951314,1.0,0.0,0.0,1.0,0.0,0.0,0.028633333333333334
46439075,3.014455125478445,26259990,2,0.040969230943459764,0,11,20,1,1.2793782614764828,0.0,1.0,0.0,0.0,0.0,1.0,0.36654
68570274,-0.3485854154887388,5955163,2,-1.0017210219347392,0,20,11,4,-0.20536707083218764,0.0,1.0,0.0,0.0,0.0,0.0,0.031626666666666664
30768927,0.18009503295337698,3468954,1,0.040969230943459764,0,12,10,4,1.7367093313279214,0.0,1.0,0.0,0.0,1.0,0.0,0.36654
55753928,0.9881195367126887,88673088,2,0.272678176027504,0,4,1,2,1.23854731221991,0.0,1.0,0.0,0.0,0.0,0.0,0.04742
37178326,-0.860352454331571,4666614,2,0.8519505387376146,0,0,11,2,-0.7639624006308816,0.0,1.0,1.0,0.0,0.0,0.0,0.36654
55345859,-1.132058195636188,72207171,2,-1.1175754944767615,0,11,15,2,1.300558228840442,0.0,1.0,0.0,1.0,0.0,0.0,0.006026666666666666
8208463,-0.48716625543125414,19220930,0,-0.5383031317666508,1,3,3,2,-1.5775317314770152,1.0,0.0,0.0,0.0,0.0,0.0,0.020393333333333333
646029,-0.31312181471604794,58637986,1,-0.5383031317666508,0,7,9,6,-1.436312650140555,0.0,1.0,0.0,0.0,0.0,0.0,0.36654
14439406,0.38032797885457015,36444381,2,0.7360960661955925,0,1,0,6,0.521756364281249,0.0,0.0,0.0,1.0,0.0,0.0,0.36654
71747709,0.06279235347447625,36656856,2,-0.07488524159856236,0,11,12,4,1.6842213072738021,0.0,0.0,0.0,1.0,0.0,0.0,0.08169333333333334
85423211,-0.12161837054351679,29071392,1,1.315368428905703,0,19,8,0,-0.45658002351726534,1.0,0.0,0.0,0.0,0.0,0.0,0.008473333333333333
49730044,1.1676199160083094,20758195,0,1.7787863190737916,0,4,18,2,0.5111251171838294,1.0,0.0,0.0,0.0,0.0,0.0,0.36654
72084546,0.11789733313665744,35516262,2,0.15682370348548189,0,22,15,3,-1.0878405477774125,1.0,0.0,0.0,0.0,0.0,0.0,0.08169333333333334
82279045,1.2489134008564775,21104150,1,-0.654157604308673,0,22,23,2,0.026335963264223033,1.0,0.0,0.0,1.0,0.0,0.0,0.14408
68072761,-0.45388503009072884,95819705,1,0.272678176027504,0,7,22,1,-1.4228409446779564,1.0,0.0,0.0,1.0,0.0,0.0,0.14408
88951041,-0.5095356036109515,952118,2,-1.3492844395608057,0,17,20,0,-1.0488738092587073,1.0,0.0,0.0,0.0,1.0,0.0,0.36654
5879106,1.4742436642275756,32714382,0,-0.5383031317666508,0,16,12,5,-0.615057768265125,0.0,0.0,0.0,1.0,0.0,0.0,0.36654
70221942,-0.14889806344558673,46825478,2,2.0104952641578357,0,19,21,3,1.6036895145494157,0.0,1.0,0.0,0.0,0.0,0.0,0.36654
4163572,2.773848234082188,68321497,2,-0.8858665493927171,0,14,10,2,1.015671770184743,1.0,0.0,0.0,0.0,0.0,1.0,0.14408
